Positive Comments	Negative Comments
Mam Shanne is a compassionate and thoughtful instructor that I appreciate to have especially with how the subject she discusses can be complex to understand.	None.
Considerate	None whatsoever.
She explains the lectures well and gives enough time to finish our plates	None
She is a good and kind teacher.	None
He is a good and kind instructor.	None
She is not strict and can make the class at ease or make the atmosphere lighter for better learning environment	Maybe need improvement on explaining the topic for clear understanding
She gives instruction clearly and provides lecture for us even though she teach it already on the face to face class.	None.
She is considerate on giving deadline on the activities.	I hope that she can explain the topic better in a way that we would easily understand the topic also.
Very Considerate and trying her best to teach the lessons	None
She explains clearly the process on how to make the plate	Nothing
He Always send a video that we can watch always.	Meeting is not always.
He make sure that the lessons are well discuss to us and always reminds us to pay attention to it.	None.
I can see that our instructor is prepared every online meeting. He makes sure he knows what he is teaching, and he also prepares activities for us to better understand the topic.	None
He announces clearly, his video lectures is helpful because we can go back and watch it again if we did not understand some part of the topic. In addition if the class have questions, he answers them clearly.	He may conduct a online lecture sometimes so that the information in the lecture is new and he could also record it for the class to go back to and help them for their review for future quiz and exams.
