Positive Comments	Negative Comments
She is kind and jolly at teaching. She's doing task for everyone during her class, for us to participate in her time.	None
Discrete learning	None
Considerate and Understanding	Some concepts tend to be unelaborate
very informative  she also always asks us if we understand the lesson so that if we don't, she can repeat it	so far none
She is happy to see students trying to solve even if the answers are wrong. Hence, I feel comfortable in her teaching environment.	Since students are not classified into sections by their GWA, I can see students who are at an advantage, average, or below average. And because of that, sometimes, the instructor does not address the issue of having "below-average students" in her class and just "let us proceed to the next topic" without thinking she might leave other students behind. Although she asks if we had absorbed the topic, it is not enough if only fast learners will respond to her.  I hate to see instructors WHO DO NOT wrap up or summarize the topic at the end of the lesson. They just leave the students thinking "Ah, iyon na 'yon?" "Yon na pala yung topic?" "Ah, ano raw, tapos na pala?"  Furthermore, I HOPE that explanations can be done in TAGALOG because we are Filipino speakers and NOT English Speakers. Some students are having a hard time understanding the instructor's accent in speaking in English. More so, REFRAIN FROM JUST reading the PowerPoint presentation or the module (I observe it from time to time) and ELABORATE IT, RELATE IT TO OTHER DISCIPLINES, AND APPLY OTHER CONCEPTS BENEFICIAL TO THE AUDIENCE for the students to sync better with the lesson.  *I know that we are already college students and should now be able to possess skills that a University requires, however, this point of view is not for the sake of me but for other students who fail to adapt to the instructor's teaching methods. Cultural fit is my advantage, but how about others who do not? Can the instructor be more careful and address proper audience analysis including the students' background?   **Remedial is not the key, but rather finding a way for students to appreciate and be in touch with your subject.
Sheâ€™s good at explaining and discussing the topic so that the class is well interactive.	None
I can say that he is able to further more explain his discussions that can be understand by students	I don't have negative comments so far
The instructor would ensure that the students understood the topic.	None so far.
I am challenged to see that the type of examinations/quizzes/assessments/tasks is above my average expectations.  Adding feedback on a student's work is good. It keeps me motivated.	Although his discussions are recorded and lectures are done asynchronously, he fails to reach my standards and my MOST expectation, and that is, to have interactive communication and discussion with the class. I hardly see him conduct recitations, and that is the thrill that I am looking for. No recitations equal no thrills. It is like I am just sitting and watching his recorded lectures JUST to finish and pass the subject.  More so, REFRAIN FROM JUST reading the PowerPoint presentation or the module (I observe it from time to time) and ELABORATE IT, RELATE IT TO OTHER DISCIPLINES, AND APPLY OTHER CONCEPTS BENEFICIAL TO THE AUDIENCE for the students to sync better with the lesson.  Furthermore, I sometimes observe that he reads something out of the module, that HE SHOULD ALSO place in the presentation. This can be acceptable, however, I am discouraged by the tone of speaking and how fast he speaks in English that I sometimes get lost in his words.
The instructor would ensure that the students understood the topic and would let us ask questions about the topics that were not clearly understood.	None so far.
The instructor is approachable and easy to talk to if we have queries or concern about the course.	The instructor teach lesson bit faster than we can handle because we also need to take notes the solutions. In addition, we also need a break time for every lesson, for example doing 5 minutes break-for the lessons we have are continuous that sometimes it became to much for me to handle.
The instructor is easy to talk to and would teacher us lesson again we didn't understand and get the answer we would want to have.	The instructor teach lesson bit faster than the normal class if its in face to face settings, it results to us not having to take note since the focus would be on the lesson and pattern of solution not on the notes we were taking. In addition, it would be better if would have 5-min break or something in every lesson for us to rest our mind, the continuous lesson is kind of draining for us, resulting to not be focused on the other lesson being discussed.
Maam Mariano is a good teacher, she explain the lessons well,	I cant see negative in her teaching method
He gives real life applications for the topics at hand, mainly coming from his previous/other job.	Improve delivery of topics.
Though lessons are a little bit confusing, Sir Daniel makes it easier to comprehend because of his own examples in every definition. He explains every topic with clarity. His activities for us are really just to reflect on ourselves and I can say that it is a great help with my mental health.	I have no negative comments.
I love the way she teach because she is easy to approach when the class don't understand the lesson very well.	None so far
He is kind	none
